,0,1
319,47.0,28.29
320,36.0,23.5
321,27.0,15.5
322,39.0,29.5
323,32.0,17.45
324,39.0,26.71
325,27.0,21.3
326,26.0,15.07
327,57.0,26.0
328,80.0,34.33
329,47.0,23.44
330,36.0,22.56
331,43.0,35.2
332,28.0,14.81
333,43.0,26.5
334,22.0,9.95
335,28.0,15.08
336,51.0,24.62
337,45.0,34.4
338,32.0,16.23
339,41.0,22.62
340,46.0,24.56
341,31.0,21.1
342,33.0,21.62
343,33.0,23.14
344,43.0,26.75
345,52.0,22.71
346,30.0,21.22
347,50.0,32.17
348,34.0,21.0
349,33.0,18.73
350,42.0,24.57
351,28.0,21.25
352,38.0,21.25
353,26.0,13.0
354,58.0,23.38
355,30.0,19.0
356,20.0,12.0
357,34.0,21.5
358,36.0,18.5
359,30.0,22.11
360,37.0,25.57
361,20.0,13.83
362,26.0,18.8
363,40.0,22.4
364,43.0,23.43
365,59.0,37.6
366,20.0,12.86
367,20.0,12.71
368,35.0,25.5
369,46.0,24.86
370,40.0,26.43
371,30.0,20.6
372,48.0,27.5
373,24.0,15.31
374,24.0,11.56
375,81.0,34.33
376,24.0,15.17
377,21.0,10.91
378,43.0,22.22
379,39.0,23.5
380,43.0,24.75
381,42.0,24.67
382,38.0,27.29
383,38.0,27.71
384,32.0,19.08
385,36.0,25.86
386,44.0,26.0
387,27.0,18.0
388,43.0,31.5
389,32.0,17.1
390,31.0,15.85
391,27.0,17.33
392,20.0,11.86
393,37.0,23.86
394,57.0,33.2
395,27.0,15.57
396,75.0,40.0
397,27.0,14.07
398,28.0,16.92
399,65.0,35.0
400,24.0,16.67
401,33.0,21.9
402,39.0,22.5
403,38.0,21.22
404,74.0,38.6
405,23.0,11.47
406,35.0,23.12
407,49.0,28.17
408,45.0,20.18
409,38.0,19.22
410,40.0,21.8
411,48.0,34.83
412,40.0,18.9
413,39.0,17.82
414,26.0,16.62
415,19.0,12.14
416,31.0,18.89
417,35.0,22.67
418,42.0,29.14
419,54.0,24.5
420,52.0,29.71
421,21.0,15.15
422,65.0,25.5
423,69.0,30.57
424,31.0,21.88
425,44.0,33.6
426,38.0,20.11
427,62.0,26.38
428,24.0,14.09
429,62.0,27.57
430,42.0,27.43
431,41.0,28.0
432,26.0,13.58
433,32.0,21.5
434,29.0,17.82
435,32.0,24.67
436,35.0,25.11
437,60.0,35.2
438,36.0,27.43
439,21.0,12.78
440,41.0,23.75
441,37.0,21.11
442,22.0,15.57
443,38.0,26.38
444,41.0,23.43
445,46.0,31.71
446,45.0,20.5
447,30.0,19.0
448,30.0,16.33
449,36.0,12.7
450,26.0,15.17
451,38.0,25.38
452,29.0,22.38
453,33.0,18.56
454,26.0,18.56
455,30.0,20.12
456,32.0,17.0
457,41.0,31.71
458,55.0,23.25
459,34.0,18.5
460,37.0,20.62
461,27.0,21.67
462,39.0,29.67
463,35.0,20.5
464,34.0,24.0
465,34.0,20.3
466,30.0,23.38
467,42.0,25.71
468,47.0,23.62
469,42.0,17.44
470,60.0,25.75
471,31.0,21.0
472,28.0,21.5
473,27.0,18.18
474,34.0,23.71
475,36.0,18.45
476,30.0,18.08
477,60.0,23.38
